Date,Open,High,Low,Close,Volume,Currency
2018-05-31,5.981,6.066,5.783,5.839,39901276,EUR
2018-06-01,5.971,6.074,5.89,6.018,30418326,EUR
2018-06-04,6.087,6.147,6.02,6.057,22997876,EUR
2018-06-05,6.037,6.075,5.914,5.915,22453584,EUR
2018-06-06,5.924,5.999,5.845,5.993,23063432,EUR
2018-06-07,6.05,6.188,6.05,6.114,25058062,EUR
2018-06-08,6.039,6.078,6.004,6.078,18713966,EUR
2018-06-11,6.177,6.232,6.1,6.206,26167046,EUR
2018-06-12,6.25,6.269,6.19,6.19,17663648,EUR
2018-06-13,6.176,6.212,6.096,6.1,20601704,EUR
2018-06-14,6.08,6.11,6.03,6.094,19683696,EUR
2018-06-15,6.103,6.114,5.905,5.977,42121408,EUR
2018-06-18,5.95,6.015,5.906,5.919,13915863,EUR
2018-06-19,5.85,5.994,5.8,5.961,16780222,EUR
2018-06-20,6.02,6.08,6.0,6.01,18487724,EUR
2018-06-21,6.046,6.076,5.909,5.972,14863284,EUR
2018-06-22,6.014,6.078,5.975,6.06,15965487,EUR
2018-06-25,5.998,6.04,5.945,5.955,17633052,EUR
2018-06-26,6.002,6.044,5.916,6.014,17662708,EUR
2018-06-27,6.008,6.018,5.886,5.968,19256126,EUR
2018-06-28,5.92,6.005,5.911,5.966,13267225,EUR
2018-06-29,6.05,6.16,6.037,6.074,22524692,EUR
2018-07-02,5.98,5.987,5.881,5.946,23522428,EUR
2018-07-03,5.976,6.059,5.915,6.02,15269746,EUR
2018-07-04,6.0,6.155,5.998,6.136,16014458,EUR
2018-07-05,6.16,6.359,6.16,6.309,23101448,EUR
2018-07-06,6.36,6.41,6.302,6.369,19574844,EUR
2018-07-09,6.4,6.439,6.364,6.368,12686727,EUR
2018-07-10,6.35,6.353,6.175,6.212,27853608,EUR
2018-07-11,6.14,6.16,6.045,6.045,19278262,EUR
2018-07-12,6.079,6.09,5.984,6.057,13763923,EUR
2018-07-13,6.083,6.083,5.994,6.033,12495603,EUR
2018-07-16,6.014,6.064,5.967,5.993,11423558,EUR
2018-07-17,6.0,6.046,5.921,5.935,23556830,EUR
2018-07-18,5.921,6.004,5.871,6.004,18031974,EUR
2018-07-19,6.0,6.071,5.949,5.976,13394267,EUR
2018-07-20,5.95,5.999,5.916,5.971,17417660,EUR
2018-07-23,5.939,6.043,5.916,6.026,12058294,EUR
2018-07-24,6.08,6.2,6.077,6.156,21023840,EUR
2018-07-25,6.156,6.16,6.034,6.048,16127459,EUR
2018-07-26,6.074,6.168,6.07,6.121,16646110,EUR
2018-07-27,6.19,6.328,6.159,6.201,18502476,EUR
2018-07-30,6.166,6.255,6.152,6.228,13185785,EUR
2018-07-31,6.21,6.33,6.21,6.286,19234648,EUR
2018-08-01,6.294,6.33,6.204,6.224,11755363,EUR
2018-08-02,6.189,6.19,6.022,6.05,27506136,EUR
2018-08-03,6.054,6.11,6.01,6.063,10240903,EUR
2018-08-06,6.073,6.1,6.006,6.041,10230978,EUR
2018-08-07,6.06,6.086,6.025,6.04,11518367,EUR
2018-08-08,6.025,6.051,5.966,6.002,11067641,EUR
2018-08-09,6.0,6.005,5.917,5.947,15873600,EUR
2018-08-10,5.82,5.825,5.6,5.64,56784348,EUR
2018-08-13,5.478,5.528,5.4,5.458,40654896,EUR
2018-08-14,5.484,5.568,5.385,5.453,30667236,EUR
2018-08-15,5.479,5.53,5.335,5.399,27476004,EUR
2018-08-16,5.466,5.516,5.41,5.487,21227676,EUR
2018-08-17,5.514,5.514,5.379,5.44,20372060,EUR
2018-08-20,5.469,5.514,5.394,5.416,13638144,EUR
2018-08-21,5.4,5.539,5.39,5.496,13448481,EUR
2018-08-22,5.489,5.582,5.48,5.551,16368521,EUR
2018-08-23,5.57,5.597,5.52,5.522,11925430,EUR
2018-08-24,5.502,5.567,5.502,5.533,9138433,EUR
2018-08-27,5.551,5.587,5.506,5.571,8302016,EUR
2018-08-28,5.59,5.608,5.49,5.49,17660044,EUR
2018-08-29,5.51,5.545,5.455,5.533,11761943,EUR
2018-08-30,5.501,5.51,5.378,5.381,24679056,EUR
2018-08-31,5.394,5.411,5.353,5.37,21152720,EUR
2018-09-03,5.37,5.395,5.328,5.354,10057133,EUR
2018-09-04,5.354,5.422,5.298,5.368,17457294,EUR
2018-09-05,5.347,5.426,5.297,5.363,21825654,EUR
2018-09-06,5.32,5.32,5.221,5.228,24127098,EUR
2018-09-07,5.23,5.257,5.118,5.18,22847516,EUR
2018-09-10,5.166,5.275,5.15,5.199,15873803,EUR
2018-09-11,5.229,5.255,5.155,5.209,17236876,EUR
2018-09-12,5.21,5.22,5.137,5.215,15331879,EUR
2018-09-13,5.213,5.461,5.209,5.438,40246860,EUR
2018-09-14,5.478,5.479,5.384,5.449,21199972,EUR
2018-09-17,5.43,5.528,5.428,5.503,20383274,EUR
2018-09-18,5.502,5.509,5.443,5.486,16851692,EUR
2018-09-19,5.505,5.606,5.475,5.596,26567904,EUR
2018-09-20,5.617,5.755,5.617,5.678,35155580,EUR
2018-09-21,5.742,5.785,5.605,5.636,56155496,EUR
2018-09-24,5.6,5.635,5.568,5.593,18066536,EUR
2018-09-25,5.63,5.678,5.595,5.598,21863364,EUR
2018-09-26,5.601,5.624,5.561,5.577,13860156,EUR
2018-09-27,5.536,5.609,5.462,5.609,19114968,EUR
2018-09-28,5.548,5.549,5.384,5.49,29788156,EUR
2018-10-01,5.477,5.605,5.467,5.515,20134914,EUR
2018-10-02,5.458,5.468,5.369,5.369,30681760,EUR
2018-10-03,5.426,5.44,5.341,5.344,24027852,EUR
2018-10-04,5.345,5.398,5.29,5.297,26756006,EUR
2018-10-05,5.3,5.308,5.245,5.263,19363404,EUR
2018-10-08,5.2,5.242,5.103,5.215,20467152,EUR
2018-10-09,5.242,5.303,5.181,5.295,26330380,EUR
2018-10-10,5.257,5.358,5.247,5.293,22106280,EUR
2018-10-11,5.193,5.356,5.182,5.289,35632728,EUR
2018-10-12,5.37,5.39,5.264,5.264,20855754,EUR
2018-10-15,5.249,5.343,5.233,5.319,15930864,EUR
2018-10-16,5.346,5.384,5.303,5.361,17599230,EUR
2018-10-17,5.38,5.407,5.276,5.298,15647876,EUR
2018-10-18,5.28,5.339,5.092,5.155,34296744,EUR
2018-10-19,5.13,5.245,5.016,5.206,38516860,EUR
2018-10-22,5.285,5.321,5.094,5.095,19650654,EUR
2018-10-23,5.02,5.123,5.007,5.068,24752868,EUR
2018-10-24,5.077,5.077,4.965,4.965,19627408,EUR
2018-10-25,4.985,5.134,4.972,5.106,25400774,EUR
2018-10-26,5.072,5.093,5.008,5.088,21732938,EUR
2018-10-29,5.168,5.201,5.076,5.133,17633444,EUR
2018-10-30,5.2,5.226,4.969,4.972,37178608,EUR
2018-10-31,5.016,5.022,4.866,4.885,54113764,EUR
2018-11-01,4.895,5.036,4.885,5.032,23284092,EUR
2018-11-02,5.094,5.194,5.081,5.164,26601366,EUR
2018-11-05,5.166,5.255,5.165,5.207,15845203,EUR
2018-11-06,5.199,5.205,5.101,5.155,13576584,EUR
2018-11-07,5.4,5.4,5.237,5.244,27356080,EUR
2018-11-08,5.267,5.29,5.2,5.217,14723971,EUR
2018-11-09,5.05,5.05,4.852,4.912,66481144,EUR
2018-11-12,5.025,5.049,4.9,4.912,28959148,EUR
2018-11-13,4.925,5.009,4.925,5.0,21563300,EUR
2018-11-14,4.974,5.029,4.95,4.972,15713471,EUR
2018-11-15,4.993,5.029,4.912,4.977,21290576,EUR
2018-11-16,5.003,5.015,4.909,4.911,34333652,EUR
2018-11-19,4.921,4.984,4.903,4.91,15890961,EUR
2018-11-20,4.9,4.9,4.822,4.852,20440160,EUR
